"Currency","Trans Type","Settle State","Tran #","Device","Location","Asset #","Date","Card Type","Amount","AP Code","Details"
"United States Dollars","Cash","Processed",20109258187,"VJ300202190","Jerstad","TBD","03/13/2025 08:52:08 AM","Cash","$1.00",,"42($1.00)"
"United States Dollars","Cash","Processed",20110608026,"VJ300202190","Jerstad","TBD","03/13/2025 12:03:53 PM","Cash","$1.00",,"13($1.00)"
"United States Dollars","Cash","Processed",20110650525,"VJ300202190","Jerstad","TBD","03/13/2025 12:11:27 PM","Cash","$1.00",,"22($1.00)"
"United States Dollars","Cash","Processed",20110720070,"VJ300202190","Jerstad","TBD","03/13/2025 12:20:13 PM","Cash","$1.00",,"13($1.00)"
"United States Dollars","Cash","Processed",20111178564,"VJ300202190","Jerstad","TBD","03/13/2025 01:22:54 PM","Cash","$1.00",,"65($1.00)"
"United States Dollars","Cash","Processed",20111182365,"VJ300202190","Jerstad","TBD","03/13/2025 01:23:34 PM","Cash","$1.00",,"66($1.00)"
"United States Dollars","Cash","Processed",20112010266,"VJ300202190","Jerstad","TBD","03/13/2025 03:22:05 PM","Cash","$2.00",,"44($2.00)"
"United States Dollars","Cash","Processed",20112458538,"VJ300202190","Jerstad","TBD","03/13/2025 04:40:55 PM","Cash","$1.00",,"22($1.00)"
"United States Dollars","Cash","Processed",20112948597,"VJ300202190","Jerstad","TBD","03/13/2025 06:24:11 PM","Cash","$2.75",,"76($2.75)"
"United States Dollars","Credit","Settled",20109520535,"VJ300202190","Jerstad","TBD","03/13/2025 09:36:44 AM","Visa (Swiped)","$3.20","093510","44($2.00), 34($1.00), Two-Tier Pricing(2 * $0.10)"
"United States Dollars","Credit (Apple Pay Cash EMV)","Settled",20111114064,"VJ300202190","Jerstad","TBD","03/13/2025 01:13:33 PM","Visa (Apple Pay Cash EMV)","$1.10","594446","13($1.00), Two-Tier Pricing($0.10)"
"United States Dollars","Credit (Apple Pay Cash EMV)","Settled",20111164448,"VJ300202190","Jerstad","TBD","03/13/2025 01:20:41 PM","Visa (Apple Pay Cash EMV)","$2.85","636519","75($2.75), Two-Tier Pricing($0.10)"
"United States Dollars","Credit (Apple Pay Cash EMV)","Settled",20111707311,"VJ300202190","Jerstad","TBD","03/13/2025 02:36:11 PM","Visa (Apple Pay Cash EMV)","$3.20","402995","44($2.00), 34($1.00), Two-Tier Pricing(2 * $0.10)"
"United States Dollars","Credit (Apple Pay EMV)","Settled",20111882293,"VJ300202190","Jerstad","TBD","03/13/2025 03:01:55 PM","Visa (Apple Pay EMV)","$1.10","150131","22($1.00), Two-Tier Pricing($0.10)"
"United States Dollars","Credit (Apple Pay EMV)","Settled",20111917471,"VJ300202190","Jerstad","TBD","03/13/2025 03:06:59 PM","MasterCard (Apple Pay EMV)","$4.20","063697","41($2.00), 44($2.00), Two-Tier Pricing(2 * $0.10)"
"United States Dollars","Credit (EMV Contactless)","Settled",20111060521,"VJ300202190","Jerstad","TBD","03/13/2025 01:06:13 PM","MasterCard (EMV Contactless)","$1.10","030546","65($1.00), Two-Tier Pricing($0.10)"
"United States Dollars","Credit","Settled",20110742688,"VJ300263627","Avis Beverage","TBD","03/13/2025 12:23:15 PM","Visa (Swiped)","$2.10","249288","E2($2.00), Two-Tier Pricing($0.10)"
"United States Dollars","Credit (Apple Pay EMV)","Settled",20113310664,"VJ300263627","Avis Beverage","TBD","03/13/2025 07:57:53 PM","Visa (Apple Pay EMV)","$1.10","085720","A1($1.00), Two-Tier Pricing($0.10)"
"United States Dollars","Credit (EMV Contactless)","Settled",20109616154,"VJ300263627","Avis Beverage","TBD","03/13/2025 09:53:34 AM","Visa (EMV Contactless)","$2.10","209448","C2($2.00), Two-Tier Pricing($0.10)"
"United States Dollars","Credit (EMV Contactless)","Settled",20109756731,"VJ300263627","Avis Beverage","TBD","03/13/2025 10:14:42 AM","Visa (EMV Contactless)","$2.85","001425","E4($2.75), Two-Tier Pricing($0.10)"
"United States Dollars","Credit (EMV Contactless)","Settled",20110303988,"VJ300263627","Avis Beverage","TBD","03/13/2025 11:28:38 AM","Visa (EMV Contactless)","$2.85","039274","A2($2.75), Two-Tier Pricing($0.10)"
"United States Dollars","Credit (EMV Contactless)","Settled",20112547959,"VJ300263627","Avis Beverage","TBD","03/13/2025 04:58:37 PM","Visa (EMV Contactless)","$2.10","083236","E2($2.00), Two-Tier Pricing($0.10)"
"United States Dollars","Credit (EMV Contactless)","Settled",20112861024,"VJ300263627","Avis Beverage","TBD","03/13/2025 06:03:40 PM","Visa (EMV Contactless)","$2.85","032069","E4($2.75), Two-Tier Pricing($0.10)"
"United States Dollars","Cash","Processed",20110494951,"VJ300263628","Lazydays Snack","TBD","03/13/2025 11:53:02 AM","Cash","$1.00",,"132($1.00)"
"United States Dollars","Cash","Processed",20112074677,"VJ300263628","Lazydays Snack","TBD","03/13/2025 03:32:24 PM","Cash","$1.75",,"155($1.75)"
"United States Dollars","Credit (Apple Pay EMV)","Settled",20112218466,"VJ300263628","Lazydays Snack","TBD","03/13/2025 03:57:12 PM","MasterCard (Apple Pay EMV)","$1.10","055708","130($1.00), Two-Tier Pricing($0.10)"
